N	F0	PER	d0	v0	collision
5	-1	0.460000	7.923000	84	0
5	-2	0.440000	8.706000	34	0
5	-6	0.290000	6.885000	47	0
6	-4	0.390000	8.572000	17	0
8	-5	0.200000	7.999000	51	0
4	-7	0.250000	4.449000	82	0
6	-7	0.200000	4.497000	75	0
4	-5	0.320000	8.336000	64	0
6	-8	0.400000	4.104000	66	1
7	-7	0.450000	8.270000	69	1
4	-2	0.400000	8.897000	15	0
5	-4	0.360000	7.094000	43	0
6	-6	0.470000	6.285000	13	0
4	-7	0.230000	6.565000	85	0
7	-3	0.320000	4.874000	49	0
6	-8	0.490000	8.924000	55	1
5	-3	0.490000	8.696000	84	0
5	-7	0.340000	4.780000	80	1
6	-8	0.460000	7.823000	23	0
3	-3	0.300000	6.182000	88	0
7	-3	0.240000	5.914000	29	0
5	-4	0.400000	6.807000	41	0
8	-4	0.310000	4.433000	69	0
7	-6	0.490000	5.242000	72	1
5	-8	0.210000	8.478000	81	0
3	-7	0.320000	6.295000	53	0
4	-1	0.370000	5.275000	84	0
4	-4	0.460000	6.048000	47	0
7	-2	0.410000	4.210000	34	0
5	-5	0.290000	7.899000	32	0
8	-7	0.400000	4.612000	82	0
5	-6	0.380000	5.602000	43	0
3	-2	0.380000	5.220000	61	0
